그로브 소프트스킬 데이터셋,,,
,,,
,,,
,,,
soft_skill_id,soft_skill_name,category,level_description
1,자기주도,자기관리 / 개인역량,
2,책임감,자기관리 / 개인역량,
3,성실성,자기관리 / 개인역량,
4,시간관리,자기관리 / 개인역량,
5,우선순위 설정,자기관리 / 개인역량,
6,집중력,자기관리 / 개인역량,
7,스트레스 관리,자기관리 / 개인역량,
8,탄력성 ,자기관리 / 개인역량,
9,위기 관리,자기관리 / 개인역량,
10,적응력,자기관리 / 개인역량,
11,감정 조절,자기관리 / 개인역량,
12,자기 인식,자기관리 / 개인역량,
13,자기 반성,자기관리 / 개인역량,
14,자기 절제,자기관리 / 개인역량,
15,끈기 / 지속력,자기관리 / 개인역량,
16,의지력,자기관리 / 개인역량,
17,끈덕짐,자기관리 / 개인역량,
18,규칙성,자기관리 / 개인역량,
19,계획성,자기관리 / 개인역량,
20,정돈력,자기관리 / 개인역량,
21,디테일 집중,자기관리 / 개인역량,
22,내적 동기,자기관리 / 개인역량,
23,충실함,자기관리 / 개인역량,
24,꾸준함,자기관리 / 개인역량,
25,일관성,자기관리 / 개인역량,
26,자율성,자기관리 / 개인역량,
27,책임 의식,자기관리 / 개인역량,
28,정직성,자기관리 / 개인역량,
29,겸손,자기관리 / 개인역량,
30,신뢰성,자기관리 / 개인역량,
31,자기 보호,자기관리 / 개인역량,
32,마음 챙김,자기관리 / 개인역량,
33,압박 감내,자기관리 / 개인역량,
34,건강관리,자기관리 / 개인역량,
35,윤리성,자기관리 / 개인역량,
36,정직,자기관리 / 개인역량,
37,검증력,자기관리 / 개인역량,
38,자신감,자기관리 / 개인역량,
39,담대함,자기관리 / 개인역량,
40,침착함,자기관리 / 개인역량,
41,의사소통,대인관계 / 커뮤니케이션,
42,발표력,대인관계 / 커뮤니케이션,
43,경청,대인관계 / 커뮤니케이션,
44,피드백 수용,대인관계 / 커뮤니케이션,
45,설득력,대인관계 / 커뮤니케이션,
46,대화력,대인관계 / 커뮤니케이션,
47,공감,대인관계 / 커뮤니케이션,
48,감정이입,대인관계 / 커뮤니케이션,
49,비언어적 표현,대인관계 / 커뮤니케이션,
50,유머감각,대인관계 / 커뮤니케이션,
51,친화력,대인관계 / 커뮤니케이션,
52,신뢰 구축,대인관계 / 커뮤니케이션,
53,관계 형성,대인관계 / 커뮤니케이션,
54,갈등 조정,대인관계 / 커뮤니케이션,
55,중재,대인관계 / 커뮤니케이션,
56,협상력,대인관계 / 커뮤니케이션,
57,설득력,대인관계 / 커뮤니케이션,
58,표현력,대인관계 / 커뮤니케이션,
59,설득 대화,대인관계 / 커뮤니케이션,
60,질문력,대인관계 / 커뮤니케이션,
61,설명력,대인관계 / 커뮤니케이션,
62,요약 정리,대인관계 / 커뮤니케이션,
63,보고 / 전달,대인관계 / 커뮤니케이션,
64,맞춤형 커뮤니케이션,대인관계 / 커뮤니케이션,
65,정중함,대인관계 / 커뮤니케이션,
66,배려,대인관계 / 커뮤니케이션,
67,화합 촉진,대인관계 / 커뮤니케이션,
68,사회성,대인관계 / 커뮤니케이션,
69,네트워킹,대인관계 / 커뮤니케이션,
70,응대 능력,대인관계 / 커뮤니케이션,
71,상호작용,대인관계 / 커뮤니케이션,
72,분위기 조성,대인관계 / 커뮤니케이션,
73,친절성,대인관계 / 커뮤니케이션,
74,친밀감,대인관계 / 커뮤니케이션,
75,진정성,대인관계 / 커뮤니케이션,
76,설득,대인관계 / 커뮤니케이션,
77,유연한 말투,대인관계 / 커뮤니케이션,
78,단호함,대인관계 / 커뮤니케이션,
79,존중,대인관계 / 커뮤니케이션,
80,감정 표현,대인관계 / 커뮤니케이션,
