그로브 하드스킬 데이터셋,,
,,
,,
,,
hard_skill_id,hard_skill_name,category
1,Java,Developer
2,JavaScript,Developer
3,TypeScript,Developer
4,Python,Developer
5,Kotlin,Developer
6,Go,Developer
7,C#,Developer
8,C++,Developer
9,PHP,Developer
10,Ruby,Developer
11,Swift,Developer
12,Rust,Developer
13,HTML5,Developer
14,CSS 3,Developer
15,SQL,Developer
16,Spring,Developer
17,Node.js,Developer
18,Express.js,Developer
19,Django,Developer
20,Flask,Developer
21,FastAPI,Developer
22,Ruby on Rails,Developer
23,Laravel,Developer
24,.NET Core,Developer
25,React,Developer
26,Vue.js,Developer
27,Angular,Developer
28,Svelte,Developer
29,Next.js,Developer
30,Nuxt.js,Developer
31,Redux,Developer
32,Zustand,Developer
33,React Query,Developer
34,Tailwind CSS,Developer
35,JPA,Developer
36,Hibernate,Developer
37,MyBatis,Developer
38,QueryDSL,Developer
39,NestJS,Developer
40,React Native,Developer
41,Flutter,Developer
42,MySQL,Developer
43,PostgreSQL,Developer
44,Oracle,Developer
45,MS-SQL,Developer
46,MariaDB,Developer
47,MongoDB,Developer
48,Redis,Developer
49,Elasticsearch,Developer
50,Amazon Web Services (AWS),Developer
51,Google Cloud Platform (GCP),Developer
52,Microsoft Azure,Developer
53,Docker,Developer
54,Kubernetes,Developer
55,CI/CD,Developer
56,Jenkins,Developer
57,GitHub Actions,Developer
58,GitLab CI,Developer
59,Terraform,Developer
60,Ansible,Developer
61,NGINX,Developer
62,Apache Kafka,Developer
63,RabbitMQ,Developer
64,REST API,Developer
65,GraphQL,Developer
66,Git,Developer
67,GitHub,Developer
68,GitLab,Developer
69,Jira,Developer
70,Confluence,Developer
71,Slack,Developer
72,Linux,Developer
73,서버리스 아키텍처,Developer
74,마이크로서비스 아키텍처(MSA),Developer
75,단위 테스트(Unit Test),Developer
76,통합 테스트(Integration Test),Developer
77,객체지향 프로그래밍(OOP),Developer
78,함수형 프로그래밍,Developer
79,TDD(테스트 주도 개발),Developer
80,BDD(행동 주도 개발),Developer
81,Webpack,Developer
82,Vite,Developer
83,TensorFlow,Developer
84,PyTorch,Developer
85,Scikit-learn,Developer
86,Pandas,Developer
87,NumPy,Developer
88,gRPC,Developer
89,WebSocket,Developer
90,OAuth,Developer
91,JWT(JSON Web Token),Developer
92,AWS Lambda,Developer
93,Amazon S3,Developer
94,Amazon EC2,Developer
95,Amazon RDS,Developer
96,Amazon DynamoDB,Developer
97,프로메테우스(Prometheus),Developer
98,그라파나(Grafana),Developer
99,Figma,Designer
100,Adobe XD,Designer
101,Sketch,Designer
102,Adobe Photoshop,Designer
103,Adobe Illustrator,Designer
104,Adobe After Effects,Designer
105,Adobe InDesign,Designer
106,Zeplin,Designer
107,ProtoPie,Designer
108,InVision,Designer
109,Framer,Designer
110,Canva,Designer
111,Cinema 4D,Designer
112,Blender,Designer
113,Procreate,Designer
114,UX 리서치,Designer
115,UI 디자인,Designer
116,GUI 디자인,Designer
117,와이어프레이밍,Designer
118,프로토타이핑,Designer
119,사용성 테스트,Designer
120,FGI(포커스 그룹 인터뷰),Designer
121,사용자 인터뷰,Designer
122,페르소나 정의,Designer
123,고객 여정 지도(Customer Journey Map),Designer
124,정보 구조 설계(IA),Designer
125,사용자 흐름도(User Flow),Designer
126,디자인 시스템 구축,Designer
127,디자인 가이드라인 제작,Designer
128,데이터 기반 디자인,Designer
129,A/B 테스팅,Designer
130,히트맵 분석,Designer
131,정성적 데이터 분석,Designer
132,정량적 데이터 분석,Designer
133,HTML,Designer
134,CSS,Designer
135,반응형 웹 디자인,Designer
136,적응형 웹 디자인,Designer
137,BX(브랜드 경험) 디자인,Designer
138,BI(브랜드 아이덴티티) 디자인,Designer
139,로고 디자인,Designer
140,타이포그래피,Designer
141,편집 디자인,Designer
142,패키지 디자인,Designer
143,아이콘 디자인,Designer
144,일러스트레이션,Designer
145,캐릭터 디자인,Designer
146,모션 그래픽,Designer
147,인터랙션 디자인,Designer
